Date,AQI,City
2018-01-01,406,Delhi
2018-01-02,418,Delhi
2018-01-03,382,Delhi
2018-01-04,366,Delhi
2018-01-05,390,Delhi
2018-01-06,405,Delhi
2018-01-07,355,Delhi
2018-01-08,288,Delhi
2018-01-09,359,Delhi
2018-01-10,352,Delhi
2018-01-11,309,Delhi
2018-01-12,298,Delhi
2018-01-13,359,Delhi
2018-01-14,321,Delhi
2018-01-15,331,Delhi
2018-01-16,255,Delhi
2018-01-17,353,Delhi
2018-01-18,400,Delhi
2018-01-19,406,Delhi
2018-01-20,323,Delhi
2018-01-21,276,Delhi
2018-01-22,342,Delhi
2018-01-23,324,Delhi
2018-01-24,270,Delhi
2018-01-25,243,Delhi
2018-01-26,261,Delhi
2018-01-27,286,Delhi
2018-01-28,300,Delhi
2018-01-29,302,Delhi
2018-01-30,270,Delhi
2018-01-31,244,Delhi
2018-02-01,274,Delhi
2018-02-02,293,Delhi
2018-02-03,243,Delhi
2018-02-04,256,Delhi
2018-02-05,291,Delhi
2018-02-06,287,Delhi
2018-02-07,261,Delhi
2018-02-08,308,Delhi
2018-02-09,335,Delhi
2018-02-10,341,Delhi
2018-02-11,304,Delhi
2018-02-12,178,Delhi
2018-02-13,191,Delhi
2018-02-14,187,Delhi
2018-02-15,187,Delhi
2018-02-16,235,Delhi
2018-02-17,256,Delhi
2018-02-18,257,Delhi
2018-02-19,294,Delhi
2018-02-20,296,Delhi
2018-02-21,308,Delhi
2018-02-22,300,Delhi
2018-02-23,302,Delhi
2018-02-24,320,Delhi
2018-02-25,266,Delhi
2018-02-26,156,Delhi
2018-02-27,160,Delhi
2018-02-28,272,Delhi
2018-03-01,257,Delhi
2018-03-02,260,Delhi
2018-03-03,203,Delhi
2018-03-04,178,Delhi
2018-03-05,172,Delhi
2018-03-06,167,Delhi
2018-03-07,185,Delhi
2018-03-08,245,Delhi
2018-03-09,280,Delhi
2018-03-10,170,Delhi
2018-03-11,170,Delhi
2018-03-12,214,Delhi
2018-03-13,217,Delhi
2018-03-14,267,Delhi
