Date,Holidays_Count,PM2.5,PM10,NO2,SO2,CO,O3,AQI,City,Year,Month,Day,DayOfWeek,DayOfYear,Week,Quarter,Month_sin,Month_cos,Day_sin,Day_cos,PM2.5_rolling_mean_3,PM2.5_rolling_std_3,PM2.5_rolling_min_3,PM2.5_rolling_max_3,PM2.5_rolling_mean_7,PM2.5_rolling_std_7,PM2.5_rolling_min_7,PM2.5_rolling_max_7,PM10_rolling_mean_3,PM10_rolling_std_3,PM10_rolling_min_3,PM10_rolling_max_3,PM10_rolling_mean_7,PM10_rolling_std_7,PM10_rolling_min_7,PM10_rolling_max_7,NO2_rolling_mean_3,NO2_rolling_std_3,NO2_rolling_min_3,NO2_rolling_max_3,NO2_rolling_mean_7,NO2_rolling_std_7,NO2_rolling_min_7,NO2_rolling_max_7,SO2_rolling_mean_3,SO2_rolling_std_3,SO2_rolling_min_3,SO2_rolling_max_3,SO2_rolling_mean_7,SO2_rolling_std_7,SO2_rolling_min_7,SO2_rolling_max_7,CO_rolling_mean_3,CO_rolling_std_3,CO_rolling_min_3,CO_rolling_max_3,CO_rolling_mean_7,CO_rolling_std_7,CO_rolling_min_7,CO_rolling_max_7,O3_rolling_mean_3,O3_rolling_std_3,O3_rolling_min_3,O3_rolling_max_3,O3_rolling_mean_7,O3_rolling_std_7,O3_rolling_min_7,O3_rolling_max_7,AQI_rolling_mean_3,AQI_rolling_std_3,AQI_rolling_min_3,AQI_rolling_max_3,AQI_rolling_mean_7,AQI_rolling_std_7,AQI_rolling_min_7,AQI_rolling_max_7,AQI_lag_1,AQI_lag_2,AQI_lag_3,AQI_lag_4,AQI_lag_5,AQI_lag_6,AQI_lag_7,PM2.5_lag_1,PM2.5_lag_2,PM2.5_lag_3,PM2.5_lag_4,PM2.5_lag_5,PM2.5_lag_6,PM2.5_lag_7,PM10_lag_1,PM10_lag_2,PM10_lag_3,PM10_lag_4,PM10_lag_5,PM10_lag_6,PM10_lag_7,NO2_lag_1,NO2_lag_2,NO2_lag_3,NO2_lag_4,NO2_lag_5,NO2_lag_6,NO2_lag_7,SO2_lag_1,SO2_lag_2,SO2_lag_3,SO2_lag_4,SO2_lag_5,SO2_lag_6,SO2_lag_7,CO_lag_1,CO_lag_2,CO_lag_3,CO_lag_4,CO_lag_5,CO_lag_6,CO_lag_7,O3_lag_1,O3_lag_2,O3_lag_3,O3_lag_4,O3_lag_5,O3_lag_6,O3_lag_7
2021-02-13,0,165.42,213.89,114.93,4.35,2.45,21.25,319,Delhi,2021,2,13,5,44,6,1,0.8660254037844386,0.5000000000000001,0.48530196253108104,-0.8743466161445821,202.65666666666667,37.667137312693825,165.42,240.74,169.51142857142855,63.90153321806175,68.49,243.78,294.8633333333333,72.24181706832495,213.89,352.71,246.22714285714284,99.34968456824362,116.65,369.18,109.88999999999999,4.784642097377749,105.41,114.93,109.76714285714286,4.713942844674361,102.59,114.93,4.25,0.4092676385935922,3.8,4.6,4.157142857142857,0.6334749215165864,3.13,5.08,2.0433333333333334,0.37206630233512616,1.72,2.45,1.4957142857142856,0.6400223210393303,0.72,2.45,25.393333333333334,4.499625910376787,21.25,30.18,29.759999999999998,5.318351875032972,21.25,36.53,351.6666666666667,36.17089069035126,310.0,375.0,315.7142857142857,89.52227708921448,142.0,400.0,310.0,370.0,375.0,261.0,142.0,352.0,400.0,240.74,201.81,243.78,131.68,68.49,134.66,285.13,352.71,317.99,369.18,182.92,116.65,170.25,398.91,109.33,105.41,108.35,102.59,113.61,114.15,117.62,3.8,4.6,4.32,5.08,3.82,3.13,4.76,1.96,1.72,1.73,0.85,0.72,1.04,2.09,30.18,24.75,30.28,34.79,30.54,36.53,30.4
2021-02-15,0,174.53,292.2,112.66,3.85,2.0,18.42,335,Delhi,2021,2,15,0,46,7,1,0.8660254037844386,0.5000000000000001,0.10116832198743272,-0.994869323391895,193.5633333333333,41.109322949099166,165.42,240.74,175.20714285714286,62.02675705271228,68.49,243.78,286.26666666666665,69.59993845782714,213.89,352.71,263.6485714285714,94.37389565421343,116.65,369.18,112.30666666666667,2.8166706114369626,109.33,114.93,109.55428571428571,4.512382434822507,102.59,114.93,4.0,0.3041381265148684,3.8,4.35,4.26,0.4783652718721366,3.8,5.08,2.1366666666666667,0.27209067116190067,1.96,2.45,1.6328571428571428,0.628853832664748,0.72,2.45,23.28333333333333,6.138015423028374,18.42,30.18,27.172857142857143,5.854040525670331,18.42,34.79,333.0,32.35737937472697,310.0,370.0,304.14285714285717,81.70562724690096,142.0,375.0,319.0,310.0,370.0,375.0,261.0,142.0,352.0,165.42,240.74,201.81,243.78,131.68,68.49,134.66,213.89,352.71,317.99,369.18,182.92,116.65,170.25,114.93,109.33,105.41,108.35,102.59,113.61,114.15,4.35,3.8,4.6,4.32,5.08,3.82,3.13,2.45,1.96,1.72,1.73,0.85,0.72,1.04,21.25,30.18,24.75,30.28,34.79,30.54,36.53
2021-02-16,0,182.05,278.41,116.09,3.87,1.81,25.66,344,Delhi,2021,2,16,1,47,7,1,0.8660254037844386,0.5000000000000001,-0.10116832198743204,-0.9948693233918952,174.0,8.327658734602258,165.42,182.05,191.43,40.620027900860286,131.68,243.78,261.5,41.804008181034426,213.89,292.2,286.75714285714287,68.6899681453523,182.92,369.18,114.56,1.7446776206507038,112.66,116.09,109.90857142857143,4.959127707475084,102.59,116.09,4.0233333333333325,0.2830783166074496,3.85,4.35,4.267142857142857,0.4710171364792503,3.8,5.08,2.086666666666667,0.32868424564212617,1.81,2.45,1.7885714285714285,0.4832331587487407,0.85,2.45,21.776666666666667,3.6486207439708314,18.42,25.66,26.475714285714286,5.674031068951654,18.42,34.79,321.3333333333333,12.662279942148645,310.0,335.0,301.7142857142857,80.28639213406443,142.0,375.0,335.0,319.0,310.0,370.0,375.0,261.0,142.0,174.53,165.42,240.74,201.81,243.78,131.68,68.49,292.2,213.89,352.71,317.99,369.18,182.92,116.65,112.66,114.93,109.33,105.41,108.35,102.59,113.61,3.85,4.35,3.8,4.6,4.32,5.08,3.82,2.0,2.45,1.96,1.72,1.73,0.85,0.72,18.42,21.25,30.18,24.75,30.28,34.79,30.54
2021-02-17,0,214.19,333.83,102.23,4.54,1.86,23.61,367,Delhi,2021,2,17,2,48,7,1,0.8660254037844386,0.5000000000000001,-0.2993631229733582,-0.9541392564000488,190.25666666666666,21.065159228767527,174.53,214.19,203.21714285714285,31.292485633820437,165.42,243.78,301.48,28.851913281444457,278.41,333.83,308.3157142857143,52.42481596125468,213.89,369.18,110.32666666666667,7.218603281337221,102.23,116.09,109.85714285714286,5.048731571017612,102.23,116.09,4.086666666666667,0.39272551907573805,3.85,4.54,4.1899999999999995,0.342344855372429,3.8,4.6,1.8900000000000003,0.09848857801796092,1.81,2.0,1.932857142857143,0.2515097271620773,1.72,2.45,22.563333333333333,3.731760085178874,18.42,25.66,24.87857142857143,4.366476186321687,18.42,30.28,332.6666666666667,12.662279942148645,319.0,344.0,330.57142857142856,38.99938949461112,261.0,375.0,344.0,335.0,319.0,310.0,370.0,375.0,261.0,182.05,174.53,165.42,240.74,201.81,243.78,131.68,278.41,292.2,213.89,352.71,317.99,369.18,182.92,116.09,112.66,114.93,109.33,105.41,108.35,102.59,3.87,3.85,4.35,3.8,4.6,4.32,5.08,1.81,2.0,2.45,1.96,1.72,1.73,0.85,25.66,18.42,21.25,30.18,24.75,30.28,34.79
2021-02-18,0,167.49,249.49,97.38,4.55,1.7,24.92,335,Delhi,2021,2,18,3,49,7,1,0.8660254037844386,0.5000000000000001,-0.4853019625310808,-0.8743466161445822,187.91,23.89512921078261,167.49,214.19,192.31857142857143,27.9134056375376,165.42,240.74,287.24333333333334,42.85825163645064,249.49,333.83,291.21714285714285,48.647787450299475,213.89,352.71,105.23333333333333,9.7098420859112,97.38,116.09,108.29,6.942072217044863,97.38,116.09,4.32,0.3897435053980703,3.87,4.55,4.222857142857142,0.3670474213555778,3.8,4.6,1.7900000000000003,0.08185352771872374,1.7,1.86,1.9285714285714286,0.2557621663074612,1.7,2.45,24.73,1.0381233067419566,23.61,25.66,24.11285714285714,3.6769267705776487,18.42,30.18,348.6666666666667,16.5025250593156,335.0,367.0,345.7142857142857,25.843853464697723,310.0,375.0,367.0,344.0,335.0,319.0,310.0,370.0,375.0,214.19,182.05,174.53,165.42,240.74,201.81,243.78,333.83,278.41,292.2,213.89,352.71,317.99,369.18,102.23,116.09,112.66,114.93,109.33,105.41,108.35,4.54,3.87,3.85,4.35,3.8,4.6,4.32,1.86,1.81,2.0,2.45,1.96,1.72,1.73,23.61,25.66,18.42,21.25,30.18,24.75,30.28
2021-02-19,0,186.42,276.56,100.15,4.89,2.08,17.37,340,Delhi,2021,2,19,4,50,7,1,0.8660254037844386,0.5000000000000001,-0.651372482722222,-0.7587581226927911,189.36666666666665,23.489032192351594,167.49,214.19,190.11999999999998,27.646034073624406,165.42,240.74,286.62666666666667,43.0617258517738,249.49,333.83,285.2985714285714,47.35061225530638,213.89,352.71,99.92,2.433166660958259,97.38,102.23,107.53857142857143,7.562703283375626,97.38,116.09,4.66,0.1992485884516552,4.54,4.89,4.264285714285714,0.4280131284145474,3.8,4.89,1.8800000000000001,0.1907878402833891,1.7,2.08,1.9800000000000002,0.24269322199023127,1.7,2.45,21.96666666666667,4.034356619503815,17.37,24.92,23.05857142857143,4.442189507331685,17.37,30.18,348.6666666666667,16.5025250593156,335.0,367.0,340.0,22.4944437584041,310.0,370.0,335.0,367.0,344.0,335.0,319.0,310.0,370.0,167.49,214.19,182.05,174.53,165.42,240.74,201.81,249.49,333.83,278.41,292.2,213.89,352.71,317.99,97.38,102.23,116.09,112.66,114.93,109.33,105.41,4.55,4.54,3.87,3.85,4.35,3.8,4.6,1.7,1.86,1.81,2.0,2.45,1.96,1.72,24.92,23.61,25.66,18.42,21.25,30.18,24.75
2021-02-20,0,127.6,208.49,84.16,4.04,1.9,21.84,293,Delhi,2021,2,20,5,51,7,1,0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,160.50333333333333,30.0259593241137,127.6,186.42,173.95714285714286,26.151862721602175,127.6,214.19,244.84666666666666,34.271732277976895,208.49,276.56,264.6957142857143,44.41545296295818,208.49,333.83,93.89666666666666,8.545187729554687,84.16,100.15,103.94285714285715,11.518182313608495,84.16,116.09,4.493333333333333,0.42782395133198114,4.04,4.89,4.298571428571429,0.39278614076991347,3.85,4.89,1.8933333333333333,0.1900876990584434,1.7,2.08,1.9714285714285715,0.24456959278349671,1.7,2.45,21.37666666666667,3.7962657090006577,17.37,24.92,21.86714285714286,3.1419723862870885,17.37,25.66,347.3333333333333,17.214335111567316,335.0,367.0,335.7142857142857,18.291293791622085,310.0,367.0,340.0,335.0,367.0,344.0,335.0,319.0,310.0,186.42,167.49,214.19,182.05,174.53,165.42,240.74,276.56,249.49,333.83,278.41,292.2,213.89,352.71,100.15,97.38,102.23,116.09,112.66,114.93,109.33,4.89,4.55,4.54,3.87,3.85,4.35,3.8,2.08,1.7,1.86,1.81,2.0,2.45,1.96,17.37,24.92,23.61,25.66,18.42,21.25,30.18
2021-02-22,0,206.34,334.88,107.27,3.83,2.07,34.37,352,Delhi,2021,2,22,0,53,8,1,0.8660254037844386,0.5000000000000001,-0.9680771188662041,-0.2506525322587213,173.45333333333335,40.94017260996014,127.6,206.34,179.80285714285716,28.402111256199344,127.6,214.19,273.31,63.25764696856808,208.49,334.88,281.97999999999996,44.888347411475536,208.49,334.88,97.19333333333333,11.835304530654543,84.16,107.27,102.84857142857142,10.630000671952663,84.16,116.09,4.253333333333333,0.5612783029240556,3.83,4.89,4.224285714285714,0.42894666113073726,3.83,4.89,2.016666666666667,0.10115993936995757,1.9,2.08,1.9171428571428575,0.14079705083491353,1.7,2.08,24.526666666666667,8.812697279115751,17.37,34.37,23.74142857142857,5.6359247350410655,17.37,34.37,322.6666666666667,25.813433195399238,293.0,340.0,333.2857142857143,22.837938360794126,293.0,367.0,293.0,340.0,335.0,367.0,344.0,335.0,319.0,127.6,186.42,167.49,214.19,182.05,174.53,165.42,208.49,276.56,249.49,333.83,278.41,292.2,213.89,84.16,100.15,97.38,102.23,116.09,112.66,114.93,4.04,4.89,4.55,4.54,3.87,3.85,4.35,1.9,2.08,1.7,1.86,1.81,2.0,2.45,21.84,17.37,24.92,23.61,25.66,18.42,21.25
2021-02-23,0,201.0,367.24,102.69,6.75,1.98,29.32,339,Delhi,2021,2,23,1,54,8,1,0.8660254037844386,0.5000000000000001,-0.9987165071710528,-0.05064916883871355,178.3133333333333,44.00011969680687,127.6,206.34,183.5842857142857,29.33002151217697,127.6,214.19,303.5366666666667,83.88798503560163,208.49,367.24,292.7,55.45294221229375,208.49,367.24,98.04,12.236621265692529,84.16,107.27,101.42428571428572,9.725759365627708,84.16,116.09,4.873333333333334,1.628629280509629,3.83,6.75,4.638571428571429,1.0117382496052314,3.83,6.75,1.9833333333333334,0.08504900548115442,1.9,2.07,1.9142857142857144,0.13902723268687733,1.7,2.08,28.51,6.304149427163092,21.84,34.37,25.298571428571428,5.422359352936785,17.37,34.37,328.3333333333333,31.18225991382504,293.0,352.0,338.0,22.80350850198286,293.0,367.0,352.0,293.0,340.0,335.0,367.0,344.0,335.0,206.34,127.6,186.42,167.49,214.19,182.05,174.53,334.88,208.49,276.56,249.49,333.83,278.41,292.2,107.27,84.16,100.15,97.38,102.23,116.09,112.66,3.83,4.04,4.89,4.55,4.54,3.87,3.85,2.07,1.9,2.08,1.7,1.86,1.81,2.0,34.37,21.84,17.37,24.92,23.61,25.66,18.42
2021-02-24,0,243.42,420.65,111.14,6.47,2.78,27.42,350,Delhi,2021,2,24,2,55,8,1,0.8660254037844386,0.5000000000000001,-0.9884683243281114,0.15142777750457667,216.92,23.104467100541424,201.0,243.42,192.35142857142858,36.971656003201275,127.6,243.42,374.25666666666666,43.31337476269098,334.88,420.65,313.02,72.71732301636699,208.49,420.65,107.03333333333332,4.229968478999824,102.69,111.14,100.71714285714286,8.596064437259859,84.16,111.14,5.683333333333334,1.6111279692604545,3.83,6.75,5.01,1.1503187963922468,3.83,6.75,2.276666666666667,0.43821608064211187,1.98,2.78,2.052857142857143,0.3464445258967286,1.7,2.78,30.369999999999994,3.592005011132458,27.42,34.37,25.55,5.482383909699631,17.37,34.37,328.0,31.000000000000103,293.0,352.0,338.57142857142856,22.765889270698807,293.0,367.0,339.0,352.0,293.0,340.0,335.0,367.0,344.0,201.0,206.34,127.6,186.42,167.49,214.19,182.05,367.24,334.88,208.49,276.56,249.49,333.83,278.41,102.69,107.27,84.16,100.15,97.38,102.23,116.09,6.75,3.83,4.04,4.89,4.55,4.54,3.87,1.98,2.07,1.9,2.08,1.7,1.86,1.81,29.32,34.37,21.84,17.37,24.92,23.61,25.66
